;Abies;Acer campestre-type;Alnus;Artemisia;Betula;Buxus;Campanulaceae;Carpinus;Caryophyllaceae (periporate excl. Paronychioideae);Centaurea;Chenopodiaceae/Amaranthaceae;Corylus;Cyperaceae;Ephedra;Ericaceae;Euphorbiaceae;Fagus;Filipendula;Fraxinus;Poaceae;Hedera;Helianthemum;Ilex;Juniperus;Picea;Pinus;Plantaginaceae;Polygonum;Populus;Quercus;Ranunculaceae;Rosaceae;Rubiaceae;Salix;Sanguisorba;Saxifraga;Saxifragaceae;Scabiosa;Taxus;Thalictrum;Tilia;Trifolium-type;Ulmus;Urtica;Valeriana;Varia;Hippophae rhamnoides;Rumex;Asteraceae subf. Cichorioideae;Apiaceae;Fabaceae;Brassicaceae;Asteraceae subf. Asteroideae
X55469.318108691;0;0;0,013793103;0,003448276;0,163793103;0;0;0,00862069;0,001724138;0;0;0,010344828;0,112068966;0;0;0;0,001724138;0,001724138;0;0,034482759;0;0;0;0,001724138;0,124137931;0,484482759;0;0;0;0,012068966;0,003448276;0,001724138;0,003448276;0;0;0;0;0;0;0,00862069;0;0;0,003448276;0;0;0,001724138;0;0,001724138;0;0;0;0,001724138;0
X55596.4738785085;0;0;0,018489985;0,01540832;0,303543914;0;0;0,001540832;0;0;0;0,00770416;0,030816641;0;0;0;0;0,006163328;0;0,05238829;0;0;0;0;0,024653313;0,505392912;0;0;0;0,00770416;0,009244992;0,003081664;0;0;0;0;0;0;0;0,001540832;0;0;0,003081664;0;0;0,003081664;0;0;0;0,003081664;0;0;0,003081664
X55825.35426418;0;0;0,008460237;0,069373942;0,345177665;0;0,001692047;0;0;0;0;0;0,093062606;0;0,001692047;0;0;0,003384095;0;0,116751269;0;0,003384095;0;0,00676819;0,028764805;0,223350254;0,00676819;0;0;0;0,0321489;0,003384095;0,00676819;0,001692047;0;0;0;0;0;0,013536379;0;0;0;0;0;0,003384095;0,001692047;0,001692047;0,003384095;0,005076142;0;0,00676819;0,011844332
X55952.5100339975;0;0;0,001584786;0,076069731;0,335974643;0;0;0;0;0;0;0;0,087163233;0;0;0;0;0,006339144;0;0,175911252;0;0,004754358;0;0,023771791;0,033280507;0,187004754;0,004754358;0;0;0;0,012678288;0,001584786;0;0,001584786;0;0;0;0;0;0,006339144;0;0;0;0;0;0,001584786;0,001584786;0,009508716;0,004754358;0,006339144;0;0,004754358;0,012678288
X56206.8215736325;0;0;0,005084746;0,098305085;0,266101695;0;0;0;0,006779661;0;0,010169492;0;0,113559322;0;0;0;0;0,005084746;0;0,203389831;0;0,008474576;0;0,011864407;0,049152542;0,155932203;0,003389831;0;0;0;0,001694915;0;0;0,005084746;0;0;0;0;0;0,025423729;0;0;0;0;0;0,001694915;0;0,005084746;0,003389831;0,003389831;0;0,006779661;0,010169492
X56511.9954211945;0;0;0,014440433;0,093862816;0,232851986;0;0;0;0;0;0,003610108;0,003610108;0,119133574;0;0;0;0;0,009025271;0;0,14801444;0;0,005415162;0;0,007220217;0,066787004;0,193140794;0,007220217;0;0;0;0,02166065;0,003610108;0,009025271;0;0;0;0;0;0;0,02166065;0;0;0;0;0;0,007220217;0,009025271;0;0,007220217;0,007220217;0;0,005415162;0,003610108
X56766.3069608295;0;0;0,025179856;0,111510791;0,131294964;0;0;0,003597122;0;0;0,008992806;0,003597122;0,077338129;0;0,001798561;0;0;0,010791367;0;0,161870504;0;0;0;0,007194245;0,118705036;0,260791367;0,008992806;0;0;0;0,003597122;0,001798561;0,008992806;0;0;0;0;0;0;0,014388489;0;0;0,001798561;0;0;0,003597122;0,005395683;0,003597122;0,003597122;0,001798561;0;0,012589928;0,007194245
X56969.7561925375;0,001647446;0;0,004942339;0,084019769;0,10708402;0;0;0,004942339;0;0;0,008237232;0,001647446;0,064250412;0;0;0;0;0,003294893;0;0,116968699;0;0,006589786;0;0,008237232;0,245469522;0,275123558;0,001647446;0,001647446;0;0;0,003294893;0,001647446;0,001647446;0,006589786;0;0;0;0;0;0,019769357;0;0;0;0;0,004942339;0,003294893;0;0,004942339;0,001647446;0,006589786;0;0,003294893;0,006589786
X57274.9300400995;0;0;0,015570934;0,010380623;0,079584775;0;0;0,005190311;0;0;0,001730104;0,005190311;0,022491349;0;0,001730104;0;0;0;0;0,10899654;0;0;0;0;0,288927336;0,435986159;0,005190311;0;0;0,001730104;0,005190311;0,001730104;0,005190311;0;0;0;0;0;0;0,001730104;0;0;0;0;0;0;0;0;0;0,001730104;0;0;0,001730104
X57580.1038876615;0;0;0,010769231;0,001538462;0,067692308;0;0;0;0;0;0;0,001538462;0,015384615;0;0;0;0,001538462;0,001538462;0;0,055384615;0;0;0;0;0,309230769;0,513846154;0,001538462;0;0;0,001538462;0,003076923;0;0,003076923;0;0;0;0;0;0;0,003076923;0;0;0;0;0;0,003076923;0;0;0;0,004615385;0;0;0,001538462
X58037.8646590045;0;0;0,00610998;0,00407332;0,022403259;0;0;0,00203666;0;0;0,00203666;0;0,010183299;0;0;0;0,00203666;0,00407332;0;0,054989817;0;0;0;0;0,224032587;0,635437882;0,00203666;0;0;0,00610998;0,00203666;0;0,00407332;0;0;0;0;0;0;0;0,00203666;0;0,00203666;0;0;0;0,00203666;0;0,00610998;0,00610998;0;0;0
X58597.3500462015;0;0;0,007541478;0,003770739;0,042986425;0;0;0,002262443;0;0,000754148;0;0,003016591;0,016591252;0;0;0;0,002262443;0,003770739;0,000754148;0,056561086;0;0;0;0,001508296;0,247360483;0,595776772;0;0,000754148;0;0,000754148;0,000754148;0,000754148;0,002262443;0;0;0;0;0;0;0,000754148;0;0,000754148;0;0;0;0,002262443;0;0;0,000754148;0,002262443;0;0,002262443;0,000754148
X59105.9731254715;0,00998004;0;0,013972056;0,005988024;0,061876248;0;0;0,001996008;0,001996008;0;0;0,005988024;0,01996008;0;0;0;0,005988024;0,003992016;0,001996008;0,047904192;0;0;0;0;0,25748503;0,550898204;0;0;0;0;0,001996008;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,001996008;0;0;0,001996008;0;0,001996008;0,001996008
X59614.5962047415;0,002828854;0;0,026874116;0,002828854;0,087694484;0;0;0;0;0;0;0,004243281;0,014144272;0;0;0;0,001414427;0,001414427;0;0,03960396;0;0;0;0;0,428571429;0,381895332;0,001414427;0;0;0,001414427;0,001414427;0;0,001414427;0,001414427;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,001414427
X60021.4946681575;0,018489985;0;0,013867488;0,001540832;0,072419106;0;0;0,003081664;0;0;0;0,006163328;0,001540832;0;0;0;0,003081664;0;0,001540832;0,012326656;0;0;0;0;0,573189522;0,275808937;0,001540832;0;0;0,010785824;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,003081664;0;0,001540832;0
X60326.6685157195;0,006756757;0;0,036036036;0,002252252;0,240990991;0;0;0,047297297;0;0;0;0,033783784;0,004504505;0;0;0;0,002252252;0,002252252;0;0,002252252;0;0;0;0;0,382882883;0,202702703;0;0;0;0,027027027;0;0;0;0;0;0;0;0;0;0;0;0;0,006756757;0;0;0;0;0;0;0;0;0,002252252;0
X60530.1177474275;0;0;0,011605416;0,001934236;0,249516441;0;0;0,03868472;0;0;0;0,054158607;0,001934236;0;0;0;0,003868472;0;0,003868472;0,007736944;0;0;0;0;0,350096712;0,212765957;0;0,001934236;0;0,046421663;0;0;0;0;0;0;0;0;0;0;0,001934236;0;0,007736944;0;0;0,001934236;0;0,001934236;0;0;0;0,001934236;0
X60682.7046712085;0;0;0,018939394;0,001893939;0,244318182;0;0;0,018939394;0;0;0;0,03219697;0,007575758;0;0;0;0,001893939;0;0,003787879;0,013257576;0;0;0;0;0,289772727;0,339015152;0,001893939;0;0;0,013257576;0,001893939;0;0;0;0;0;0;0;0;0,001893939;0;0;0,003787879;0;0;0,003787879;0;0;0;0;0;0;0,001893939
X60886.1539029165;0,001470588;0;0,007352941;0,001470588;0,242647059;0;0;0,001470588;0;0;0;0,008823529;0,001470588;0;0;0;0,001470588;0,002941176;0;0,001470588;0;0;0;0;0,183823529;0,529411765;0;0;0;0,011764706;0;0;0;0;0;0;0;0;0;0;0;0;0,001470588;0;0;0;0;0;0;0,001470588;0;0,001470588;0
X61089.6031346245;0;0;0;0,005076142;0,265651438;0;0;0;0,001692047;0;0;0;0,005076142;0;0;0;0;0,001692047;0;0,015228426;0;0;0;0;0,094754653;0,602368866;0;0;0;0;0,001692047;0;0,001692047;0;0;0;0;0;0;0;0;0;0;0;0;0;0,001692047;0;0;0,003384095;0;0;0
X61242.1900584055;0;0;0,006637168;0,005530973;0,256637168;0;0;0;0,001106195;0;0;0,001106195;0,007743363;0;0;0;0;0;0;0,009955752;0;0;0;0;0,037610619;0,661504425;0;0;0;0;0,003318584;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,001106195;0;0;0,002212389;0,001106195;0;0,003318584;0,001106195
X61420.20813615;0;0;0,002183406;0,030567686;0,161572052;0;0,002183406;0;0;0;0,002183406;0;0,008733624;0;0;0;0;0,002183406;0;0,019650655;0;0;0;0;0,026200873;0,722707424;0,002183406;0;0;0;0,006550218;0,002183406;0,004366812;0;0;0;0;0;0;0,004366812;0;0;0;0;0;0;0;0;0;0;0;0;0,002183406
X61496.5015980405;0;0;0,003952569;0,013833992;0,201581028;0;0;0;0;0;0,001976285;0;0,009881423;0;0;0;0;0,001976285;0;0,02173913;0;0;0;0;0,02173913;0,703557312;0;0;0;0;0,005928854;0,003952569;0;0;0;0;0;0;0;0;0;0;0;0;0;0,001976285;0;0;0,003952569;0,001976285;0;0,001976285;0
X61598.2262138945;0,001976285;0;0,005928854;0,011857708;0,193675889;0;0,003952569;0,001976285;0;0;0;0,001976285;0,02173913;0;0;0;0;0,003952569;0;0,023715415;0;0;0;0;0,130434783;0,583003953;0;0;0;0,005928854;0,001976285;0,001976285;0,001976285;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,003952569
X61750.8131376755;0;0;0,020484171;0;0,376163873;0;0;0,011173184;0;0;0;0,011173184;0,011173184;0;0;0;0;0;0,001862197;0,016759777;0;0;0;0;0,180633147;0,348230912;0;0;0;0,011173184;0,001862197;0;0;0;0;0;0;0;0;0;0,003724395;0;0,003724395;0;0;0;0;0;0;0;0;0,001862197;0
X61852.5377535295;0;0;0,008368201;0,0027894;0,30125523;0;0;0,0013947;0;0;0;0,009762901;0,009762901;0;0;0;0;0,0041841;0,0027894;0,011157601;0;0;0;0;0,057182706;0,569037657;0;0;0;0,013947001;0;0;0;0;0;0;0;0;0;0;0,0027894;0;0,0027894;0;0;0,0013947;0;0;0;0;0;0,0013947;0
X61954.2623693835;0;0;0,003350084;0,005025126;0,316582915;0;0;0;0;0;0;0;0,003350084;0;0;0;0;0,003350084;0,001675042;0,020100503;0;0;0;0;0,011725293;0,626465662;0;0;0;0,001675042;0;0,001675042;0;0;0;0;0;0;0;0,001675042;0;0;0;0;0;0;0;0,001675042;0;0;0;0,001675042;0
X62157.7116010915;0;0;0,001432665;0,00286533;0,23782235;0;0;0;0;0;0;0;0,007163324;0;0;0;0;0;0;0,014326648;0;0;0;0;0,014326648;0,706303725;0;0;0;0,004297994;0,001432665;0,001432665;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,001432665;0,00286533;0;0,001432665;0,00286533
X62234.005062982;0;0;0,007285974;0;0,504553734;0;0;0;0;0;0;0;0,007285974;0;0;0;0;0,001821494;0;0,016393443;0;0;0;0;0,007285974;0,448087432;0;0;0;0;0,001821494;0,001821494;0;0;0;0;0;0;0;0;0;0;0,001821494;0;0;0;0;0;0;0;0;0,001821494;0
X62310.2985248725;0;0;0,012750455;0,010928962;0,555555556;0;0;0,001821494;0;0;0;0;0,036429872;0;0;0;0;0,001821494;0,001821494;0,10564663;0;0;0;0,018214936;0,016393443;0,213114754;0,001821494;0;0;0;0,001821494;0,001821494;0;0,003642987;0;0;0;0;0;0;0;0;0;0;0;0,003642987;0;0,001821494;0;0,003642987;0;0,005464481;0,001821494
X62539.178910544;0,001464129;0;0,010248902;0,020497804;0,332357247;0;0;0;0;0;0;0,004392387;0,042459736;0;0;0;0;0;0;0,191800878;0;0,001464129;0;0,200585652;0,03806735;0,11420205;0,002928258;0,001464129;0;0;0,001464129;0,002928258;0;0;0;0;0;0;0;0,007320644;0;0;0,001464129;0;0;0;0,007320644;0,004392387;0;0,005856515;0;0,001464129;0,005856515
X62768.0592962155;0,012269939;0;0,028220859;0,05398773;0,126380368;0;0;0,020858896;0;0;0,002453988;0,013496933;0,111656442;0;0;0;0;0,002453988;0,001226994;0,160736196;0;0,004907975;0;0,006134969;0,116564417;0,250306748;0,009815951;0,001226994;0;0;0,008588957;0,002453988;0,004907975;0,001226994;0;0;0;0;0;0,020858896;0;0;0,001226994;0;0,001226994;0,004907975;0;0,002453988;0,002453988;0,004907975;0;0,018404908;0,003680982
X63022.3708358505;0,010968921;0;0,021937843;0,016453382;0,069469835;0;0;0,018281536;0,003656307;0;0,003656307;0,001828154;0,067641682;0;0,001828154;0;0;0;0;0,120658135;0;0,003656307;0;0;0,206581353;0,413162706;0;0;0;0,001828154;0,001828154;0;0,001828154;0,001828154;0;0;0;0;0;0,007312614;0;0;0,001828154;0;0;0,001828154;0;0;0,001828154;0,003656307;0;0,010968921;0,005484461
X63276.6823754855;0,007575758;0;0,003787879;0,022727273;0,064393939;0;0,001893939;0,005681818;0;0;0;0;0,035984848;0;0,001893939;0;0;0;0;0,077651515;0;0;0;0;0,265151515;0,488636364;0,001893939;0;0;0,001893939;0,003787879;0;0;0,001893939;0;0;0;0;0;0,005681818;0;0;0;0;0;0;0,001893939;0;0,001893939;0;0;0,003787879;0,001893939
X63734.4431468285;0,001754386;0;0,003508772;0,015789474;0,077192982;0;0;0,001754386;0;0;0,001754386;0,001754386;0,029824561;0;0;0;0;0;0;0,071929825;0;0,001754386;0;0;0,233333333;0,538596491;0,003508772;0;0;0;0,001754386;0;0;0;0;0;0;0;0;0,001754386;0;0;0;0;0;0;0;0,003508772;0;0;0;0,007017544;0,003508772
X63988.7546864635;0,006153846;0;0,004615385;0;0,066153846;0,001538462;0;0,001538462;0;0;0;0,006153846;0,006153846;0;0,001538462;0;0,001538462;0;0;0,023076923;0;0;0;0;0,338461538;0,532307692;0;0;0;0,001538462;0,001538462;0;0,001538462;0;0;0;0;0;0;0;0;0;0;0;0;0,001538462;0;0;0,001538462;0;0;0;0,003076923
X64548.2400736605;0,001620746;0;0,024311183;0;0,137763371;0;0;0,001620746;0;0;0;0,001620746;0,012965964;0;0,003241491;0;0;0;0;0,038897893;0;0;0;0,001620746;0,322528363;0,437601297;0;0;0;0,011345219;0,001620746;0;0;0;0;0;0;0;0;0;0;0;0,001620746;0;0;0;0;0,001620746;0;0;0;0;0
X64955.1385370765;0,00625;0;0,010416667;0,004166667;0,104166667;0;0;0,00625;0,002083333;0;0;0,00625;0,002083333;0;0;0;0;0;0,002083333;0,022916667;0;0;0;0;0,329166667;0,495833333;0;0,002083333;0;0,004166667;0,002083333;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
X65311.1746925655;0,051964512;0;0,022813688;0;0,021546261;0;0;0,012674271;0;0;0;0,003802281;0,002534854;0;0;0;0;0;0;0,002534854;0;0;0;0;0,349809886;0,524714829;0;0;0;0,005069708;0;0;0;0;0;0;0;0;0;0,001267427;0;0;0;0;0;0;0;0;0;0,001267427;0;0;0
X65616.3485401275;0,084179971;0;0,023222061;0;0,034833091;0;0;0,013062409;0;0;0;0,002902758;0,001451379;0;0;0;0;0;0;0,010159652;0;0;0;0;0,348330914;0,464441219;0;0;0;0,01161103;0;0,001451379;0;0;0;0,001451379;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,002902758;0
X65870.6600797625;0,260775862;0,002155172;0,094827586;0;0,034482759;0;0;0,045258621;0;0;0;0,010775862;0,012931034;0;0;0;0;0;0,002155172;0,028017241;0;0;0;0;0,396551724;0,081896552;0;0;0;0,019396552;0;0;0;0;0;0;0;0;0,004310345;0;0;0;0,002155172;0;0;0,002155172;0;0;0;0,002155172;0;0;0
X66124.9716193975;0,174351585;0;0,073487032;0;0,047550432;0;0;0,067723343;0;0;0,001440922;0,007204611;0,010086455;0;0,002881844;0;0;0;0,001440922;0,024495677;0;0;0;0;0,282420749;0,273775216;0;0,001440922;0;0,018731988;0,001440922;0;0;0;0;0;0;0;0;0;0;0;0,004322767;0;0;0;0;0;0,001440922;0;0;0,004322767;0,001440922
X66379.2831590325;0,3;0,002739726;0,184931507;0;0,010958904;0,015068493;0;0,25890411;0;0;0;0,030136986;0,001369863;0;0;0;0;0;0,008219178;0,001369863;0;0;0,001369863;0;0,124657534;0,010958904;0;0;0;0,017808219;0;0;0;0;0;0;0;0;0,009589041;0;0,001369863;0;0,020547945;0;0;0;0;0;0;0;0;0;0
X66837.0439303755;0,38028169;0,001760563;0,13028169;0;0,007042254;0,007042254;0;0,195422535;0;0;0;0,088028169;0,003521127;0;0;0;0;0;0,003521127;0,003521127;0;0;0,003521127;0;0,133802817;0,007042254;0;0;0;0,012323944;0;0;0;0;0;0;0;0;0,01056338;0;0;0;0,012323944;0;0;0;0;0;0;0;0;0;0
X67142.2177779375;0,3977813;0;0,115689382;0;0,004754358;0,00792393;0;0,244057052;0;0;0;0,069730586;0;0;0;0;0;0;0,00792393;0;0,003169572;0;0,006339144;0;0,083993661;0,001584786;0;0;0;0,020602219;0;0;0;0;0;0;0;0;0,011093502;0;0,001584786;0;0,023771791;0;0;0;0;0;0;0;0;0;0
X67447.3916254995;0,394990366;0;0,082851638;0;0,001926782;0,005780347;0;0,292870906;0;0;0;0,08477842;0,001926782;0;0;0;0;0;0,007707129;0,001926782;0;0;0;0;0,088631985;0,001926782;0;0;0;0,01734104;0;0;0;0;0;0;0;0;0,003853565;0;0,001926782;0;0,011560694;0;0;0;0;0;0;0;0;0;0
X67752.5654730615;0,379132231;0,002066116;0,08677686;0;0;0;0;0,261363636;0;0;0;0,140495868;0,001033058;0;0;0;0;0;0,005165289;0,004132231;0,001033058;0;0;0;0,068181818;0,006198347;0;0;0;0,01446281;0,001033058;0;0;0;0;0;0;0;0,002066116;0,001033058;0,002066116;0;0,023760331;0;0;0;0;0;0;0;0;0;0
X68006.8770126965;0,081034483;0,003448276;0,075862069;0;0,001724138;0;0;0,079310345;0;0;0;0,637931034;0;0;0;0;0;0,001724138;0,017241379;0,001724138;0;0;0;0;0,036206897;0,005172414;0;0;0;0,024137931;0;0;0;0;0;0;0;0;0,020689655;0;0,003448276;0;0,00862069;0;0;0,001724138;0;0;0;0;0;0;0
X68261.1885523315;0,029542097;0,005908419;0,078286558;0;0,008862629;0;0;0,026587888;0;0;0;0,615952733;0;0;0;0;0;0;0,041358936;0,004431315;0,007385524;0;0;0;0,033973412;0,004431315;0;0;0;0,047267356;0;0;0;0;0;0;0;0;0,075332349;0;0,004431315;0;0,016248154;0;0;0;0;0;0;0;0;0;0
X68515.5000919665;0,011569053;0,003615329;0,04483008;0;0,000723066;0;0;0,007953724;0;0;0;0,585683297;0,001446132;0;0;0;0;0,000723066;0,026753435;0,007230658;0,000723066;0;0,001446132;0;0,033984093;0,002169197;0;0;0;0,078091106;0;0;0;0;0;0;0;0;0,171366594;0;0,003615329;0;0,018076645;0;0;0;0;0;0;0;0;0;0
X68718.9493236745;0,003592814;0,004790419;0,047904192;0,001197605;0,001197605;0;0;0,00239521;0;0;0;0,604790419;0,004790419;0;0;0;0;0;0,02754491;0,00239521;0,001197605;0;0,00239521;0;0,022754491;0,013173653;0;0;0;0,08502994;0;0;0;0;0;0;0;0;0,152095808;0;0,005988024;0;0,015568862;0;0;0,001197605;0;0;0;0;0;0;0
X68871.5362474555;0,003488372;0,001162791;0,06627907;0,001162791;0,001162791;0;0;0;0;0;0;0,555813953;0,002325581;0;0;0;0;0;0,027906977;0,004651163;0,002325581;0;0,001162791;0;0,05;0,006976744;0;0;0;0,15;0;0;0;0;0;0;0;0;0,098837209;0;0,004651163;0;0,022093023;0;0;0;0;0;0;0;0;0;0
X69227.5724029445;0;0,001532176;0,019918284;0;0,000510725;0;0;0;0;0;0;0,681307457;0,002042901;0;0,000510725;0;0;0;0,036772217;0,004085802;0,000510725;0;0;0;0,016853933;0,009703779;0;0;0;0,175178754;0,000510725;0;0;0;0;0;0;0;0,009193054;0;0,002553626;0;0,038304392;0;0;0;0;0;0,000510725;0;0;0;0
X69431.0216346525;0;0,002453988;0,009815951;0;0,002453988;0;0;0;0;0;0;0,753374233;0;0;0;0;0;0;0,03803681;0,001226994;0;0;0;0;0,008588957;0,011042945;0;0;0;0,121472393;0;0;0;0;0;0;0;0;0;0;0,014723926;0;0,036809816;0;0;0;0;0;0;0;0;0;0
X69685.3331742875;0;0;0,006472492;0;0,015102481;0;0;0;0;0;0;0,650485437;0,003236246;0;0;0;0;0;0,045307443;0,004314995;0,001078749;0;0;0;0,005393743;0,014023732;0;0;0;0,220064725;0;0;0;0;0;0;0;0;0,002157497;0;0,003236246;0;0,029126214;0;0;0;0;0;0;0;0;0;0
X69812.488944105;0;0,001811594;0,009057971;0;0,038043478;0;0;0;0;0;0;0,331521739;0,003623188;0;0;0;0;0;0,05615942;0,003623188;0,009057971;0;0;0;0,010869565;0,048913043;0;0;0;0,427536232;0;0;0;0;0;0;0;0;0;0;0,003623188;0;0,05615942;0;0;0;0;0;0;0;0;0;0
X69939.6447139225;0;0,00166113;0,003322259;0,00166113;0,064784053;0;0;0;0;0;0;0,024916944;0,008305648;0;0;0;0;0,003322259;0,07807309;0,009966777;0,026578073;0;0;0;0,004983389;0,117940199;0;0;0;0,456810631;0,00166113;0;0;0;0;0;0;0;0;0;0,016611296;0;0,172757475;0;0;0,003322259;0;0;0;0,003322259;0;0;0
X69990.5070218495;0;0;0,006067961;0,019417476;0,507281553;0;0;0;0;0;0;0,004854369;0,007281553;0;0;0;0;0;0;0,015776699;0,001213592;0;0,001213592;0;0,001213592;0,372572816;0;0;0;0,013349515;0;0;0;0;0;0;0;0;0;0,003640777;0;0;0,036407767;0;0;0,002427184;0;0;0;0,002427184;0;0,003640777;0,001213592
X70041.3693297765;0;0;0,001612903;0,020967742;0,259677419;0;0;0;0;0;0,006451613;0;0,006451613;0;0;0;0;0;0;0,053225806;0;0,001612903;0;0,003225806;0;0,620967742;0;0;0;0,001612903;0;0,001612903;0,001612903;0;0;0;0;0;0;0,00483871;0;0;0,001612903;0;0;0,00483871;0;0;0;0,003225806;0;0,006451613;0
X70600.8547169735;0;0;0,001317523;0,080368906;0,071146245;0;0;0;0,001317523;0;0,018445323;0,011857708;0,328063241;0,002635046;0;0;0;0,001317523;0;0,191040843;0;0,031620553;0;0,031620553;0;0,102766798;0,006587615;0;0;0;0,003952569;0,009222661;0,001317523;0,021080369;0;0;0;0;0;0,018445323;0;0;0;0;0;0,005270092;0,005270092;0,007905138;0,001317523;0,002635046;0;0,039525692;0,003952569
X70956.8908724625;0;0;0,010174419;0,082848837;0,034883721;0;0;0;0,002906977;0;0,036337209;0,005813953;0,308139535;0,005813953;0;0;0;0,002906977;0;0,219476744;0;0,015988372;0;0,013081395;0;0,055232558;0;0;0;0;0,01744186;0,007267442;0,00872093;0,020348837;0;0;0;0;0;0,04505814;0;0;0;0;0;0,00872093;0;0,011627907;0,001453488;0,001453488;0;0,075581395;0,00872093
X71465.5139517325;0;0;0,026845638;0,083892617;0,070469799;0;0;0;0,005033557;0;0,016778523;0,045302013;0,144295302;0,001677852;0;0;0;0,003355705;0;0,27852349;0;0,018456376;0;0,010067114;0;0,05704698;0;0;0;0,010067114;0,011744966;0,011744966;0,013422819;0,020134228;0;0;0;0;0;0,077181208;0,001677852;0;0,003355705;0;0;0,020134228;0,003355705;0,003355705;0,005033557;0,010067114;0;0,041946309;0,005033557