NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
0;0;4;71;34;0;0;1;9;0;8;10;104;0;0;0;0;4;0;69;0;3;0;0;25;119;0;0;0;0;12;0;3;1;0;0;0;0;0;24;0;0;0;0;0;0;0;2;5;2;0;12;3
2;0;5;7;59;0;0;0;1;0;1;5;85;0;1;0;0;2;0;84;0;1;0;1;44;149;1;0;0;1;4;3;3;0;0;0;0;0;0;16;0;0;0;0;0;5;0;2;2;0;0;8;1
2;0;6;7;90;0;0;5;1;0;0;8;63;0;0;0;0;2;0;64;0;1;0;1;54;205;0;1;0;5;11;1;2;1;0;0;0;0;0;22;0;0;1;0;0;3;0;4;3;1;0;3;2
0;0;12;6;72;0;0;3;0;0;1;7;114;0;0;0;1;1;0;64;0;1;0;3;52;165;0;0;0;2;8;1;0;0;0;0;2;0;0;15;0;0;2;0;0;1;0;1;3;1;0;8;0
1;0;4;6;57;0;0;3;1;0;2;7;121;0;0;0;0;1;0;66;0;0;0;0;57;140;1;0;0;5;10;0;3;2;0;0;0;0;0;19;0;0;0;0;0;2;0;3;3;4;0;6;5
1;0;7;10;55;0;0;1;3;0;1;7;150;0;0;0;0;5;0;74;0;1;0;0;75;166;1;0;0;1;7;0;1;0;0;0;0;0;0;16;0;0;0;0;0;1;0;1;1;3;0;10;1
0;0;4;9;40;0;0;1;2;0;0;6;136;0;0;0;0;2;0;72;0;0;0;0;71;141;1;0;0;2;14;2;2;0;0;0;0;0;0;17;0;0;0;0;0;1;0;3;0;0;0;7;1
0;0;0;2;31;0;1;0;1;0;0;4;138;0;0;0;0;1;0;57;0;0;0;2;77;139;0;1;0;4;10;5;0;0;0;0;0;0;0;12;0;0;1;0;0;3;0;6;3;0;0;6;2
0;0;7;6;34;0;0;1;2;0;0;11;136;0;0;0;0;5;0;74;0;0;0;0;94;190;0;0;0;5;11;2;2;0;0;0;0;0;0;10;0;0;1;0;0;1;1;2;6;3;0;7;2
0;0;11;7;43;0;0;2;5;0;1;10;175;0;0;0;0;0;0;69;0;0;0;0;83;169;0;0;0;4;7;0;2;1;0;0;0;0;0;21;0;0;0;0;1;3;0;4;3;3;0;11;3
0;0;10;5;63;0;0;6;1;0;3;15;199;0;0;0;0;6;0;113;0;1;0;0;174;293;1;2;0;10;9;0;0;1;0;0;0;0;0;20;0;0;0;0;0;3;0;2;2;1;0;4;1
0;0;4;7;34;0;0;0;1;0;0;5;129;0;0;0;0;2;0;57;0;0;0;1;82;150;0;0;0;1;4;1;1;0;0;0;0;0;0;7;0;0;1;0;0;1;0;3;0;1;0;2;1
0;0;4;6;22;0;0;3;2;0;0;1;227;0;1;0;0;0;0;68;0;0;0;2;83;138;0;0;0;4;5;0;2;0;0;0;0;0;0;11;0;0;0;0;0;1;0;2;0;1;0;4;1
1;0;3;12;32;0;0;1;3;0;0;6;459;0;0;0;0;1;0;53;0;2;0;0;84;129;0;1;0;0;5;1;3;1;0;0;0;0;0;19;0;0;0;0;0;3;0;0;3;1;0;11;3
2;0;4;13;32;0;0;3;1;0;1;13;167;0;0;0;1;1;0;63;0;0;0;0;140;169;1;1;0;4;9;5;3;0;0;0;0;0;0;17;0;0;0;0;0;4;0;2;1;2;0;8;3
1;0;5;14;50;0;0;5;0;0;0;4;98;0;1;0;0;4;0;57;0;1;0;0;153;229;0;0;0;3;2;1;3;0;0;0;0;0;0;15;0;0;0;0;0;3;0;1;1;3;0;4;5
0;0;7;18;42;0;0;2;1;0;0;10;79;0;1;0;0;4;0;67;0;1;0;1;121;211;0;0;0;2;1;0;0;0;0;0;0;0;0;9;0;0;0;0;0;2;0;0;4;3;0;2;3
0;0;6;8;58;0;0;0;3;0;1;7;84;0;3;0;0;4;0;48;0;1;0;0;115;239;1;1;0;3;3;0;5;0;0;0;0;0;0;15;0;0;0;0;0;5;0;3;0;0;0;5;1
0;0;4;4;43;0;0;1;0;0;0;6;85;0;1;0;0;3;0;38;0;0;0;0;132;209;0;0;0;2;0;2;1;0;0;0;0;0;0;14;0;0;0;0;0;1;0;0;2;2;0;1;0
0;0;4;2;70;0;0;3;0;0;0;8;17;0;0;0;1;2;0;15;0;0;0;0;270;291;0;0;0;5;2;1;0;0;0;0;0;0;0;2;1;0;1;0;0;0;0;0;0;0;0;0;2
1;0;10;0;62;0;0;18;0;0;0;17;5;0;0;0;1;1;2;9;0;0;0;0;257;219;0;0;0;18;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;1;0;0;0;0;1
1;0;10;1;59;0;0;12;0;0;0;34;2;0;0;0;1;0;2;4;0;0;0;0;235;213;0;0;0;50;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0
0;0;1;1;80;0;0;0;0;0;0;33;6;0;0;0;0;0;2;8;0;0;0;0;134;248;0;0;0;59;1;0;0;0;0;0;0;0;0;0;2;0;3;0;0;0;0;0;0;0;0;0;0
0;0;8;0;99;0;0;5;0;0;0;41;8;0;0;0;0;1;0;5;0;0;0;0;119;246;0;0;0;70;1;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0
0;0;8;2;95;0;0;5;1;0;0;6;65;0;0;0;1;1;0;20;0;0;0;1;72;281;0;0;0;7;2;1;2;0;0;0;0;0;0;5;0;0;2;0;0;1;0;1;0;0;0;1;0
0;0;12;10;197;0;0;1;0;0;0;5;20;0;0;0;0;4;0;34;0;0;0;0;16;328;0;0;0;5;6;2;0;0;0;0;0;0;0;1;0;0;2;0;0;2;0;0;0;2;0;0;2
0;0;5;41;204;0;1;0;0;0;0;0;55;0;1;0;0;2;0;69;0;2;0;4;17;132;4;0;0;0;19;2;4;1;0;0;0;0;0;8;0;0;0;0;0;2;1;1;2;3;0;4;7
0;0;1;48;212;0;0;0;0;0;0;0;55;0;0;0;0;4;0;111;0;3;0;15;21;118;3;0;0;0;8;1;0;1;0;0;0;0;0;4;0;0;0;0;0;1;1;6;3;4;0;3;8
0;0;3;58;157;0;0;0;4;0;6;0;67;0;0;0;0;3;0;120;0;5;0;7;29;92;2;0;0;0;1;0;0;3;0;0;0;0;0;15;0;0;0;0;0;1;0;3;2;2;0;4;6
0;0;8;52;129;0;0;0;0;0;2;2;66;0;0;0;0;5;0;82;0;3;0;4;37;107;4;0;0;0;12;2;5;0;0;0;0;0;0;12;0;0;0;0;0;4;5;0;4;4;0;3;2
0;0;14;62;73;0;0;2;0;0;5;2;43;0;1;0;0;6;0;90;0;0;0;4;66;145;5;0;0;0;2;1;5;0;0;0;0;0;0;8;0;0;1;0;0;2;3;2;2;1;0;7;4
1;0;3;51;65;0;0;3;0;0;5;1;39;0;0;0;0;2;0;71;0;4;0;5;149;167;1;1;0;0;2;1;1;4;0;0;0;0;0;12;0;0;0;0;3;2;0;3;1;4;0;2;4
0;0;9;6;46;0;0;3;0;0;1;3;13;0;1;0;0;0;0;63;0;0;0;0;167;252;3;0;0;1;3;1;3;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1
0;0;7;1;44;0;0;0;0;0;0;1;10;0;0;0;1;1;0;36;0;0;0;0;201;334;1;0;0;1;2;0;2;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;3;0;0;1
0;0;3;2;11;0;0;1;0;0;1;0;5;0;0;0;1;2;0;27;0;0;0;0;110;312;1;0;0;3;1;0;2;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;3;3;0;0;0
0;0;10;5;57;0;0;3;0;1;0;4;22;0;0;0;3;5;1;75;0;0;0;2;328;790;0;1;0;1;1;1;3;0;0;0;0;0;0;1;0;1;0;0;0;3;0;0;1;3;0;3;1
5;0;7;3;31;0;0;1;1;0;0;3;10;0;0;0;3;2;1;24;0;0;0;0;129;276;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;1
2;0;19;2;62;0;0;0;0;0;0;3;10;0;0;0;1;1;0;28;0;0;0;0;303;270;1;0;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
12;0;9;1;47;0;0;2;0;0;0;4;1;0;0;0;2;0;1;8;0;0;0;0;372;179;1;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0
3;0;16;1;107;0;0;21;0;0;0;15;2;0;0;0;1;1;0;1;0;0;0;0;170;90;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;1;0
0;0;6;1;129;0;0;20;0;0;0;28;1;0;0;0;2;0;2;4;0;0;0;0;181;110;0;1;0;24;0;0;0;0;0;0;0;0;0;0;1;0;4;0;0;1;0;1;0;0;0;1;0
0;0;10;1;129;0;0;10;0;0;0;17;4;0;0;0;1;0;2;7;0;0;0;0;153;179;1;0;0;7;1;0;0;0;0;0;0;0;0;1;0;0;2;0;0;2;0;0;0;0;0;0;1
1;0;5;1;165;0;0;1;0;0;0;6;1;0;0;0;1;2;0;1;0;0;0;0;125;360;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0
0;0;0;3;157;0;0;0;1;0;0;0;3;0;0;0;0;1;0;9;0;0;0;0;56;356;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0
0;0;6;5;232;0;0;0;1;0;0;1;7;0;0;0;0;0;0;9;0;0;0;0;34;598;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;1;0;3;1
0;0;1;14;74;0;1;0;0;0;1;0;4;0;0;0;0;1;0;9;0;0;0;0;12;331;1;0;0;0;3;1;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1
0;0;2;7;102;0;0;0;0;0;1;0;5;0;0;0;0;1;0;11;0;0;0;0;11;356;0;0;0;0;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;1;0;1;0
1;0;3;6;98;0;2;1;0;0;0;1;11;0;0;0;0;2;0;12;0;0;0;0;66;295;0;0;0;3;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
0;0;11;0;202;0;0;6;0;0;0;6;6;0;0;0;0;0;1;9;0;0;0;0;97;187;0;0;0;6;1;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;1;0
0;0;6;2;216;0;0;1;0;0;0;7;7;0;0;0;0;3;2;8;0;0;0;0;41;408;0;0;0;10;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;1;0;0;0;0;0;1;0
0;0;2;3;189;0;0;0;0;0;0;0;2;0;0;0;0;2;1;12;0;0;0;0;7;374;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0
0;0;1;2;166;0;0;0;0;0;0;0;5;0;0;0;0;0;0;10;0;0;0;0;10;493;0;0;0;3;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;1;2
0;0;4;0;277;0;0;0;0;0;0;0;4;0;0;0;0;1;0;9;0;0;0;0;4;246;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0
0;0;7;6;305;0;0;1;0;0;0;0;20;0;0;0;0;1;1;58;0;0;0;10;9;117;1;0;0;0;1;1;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;2;0;3;1
1;0;7;14;227;0;0;0;0;0;0;3;29;0;0;0;0;0;0;131;0;1;0;137;26;78;2;1;0;0;1;2;0;0;0;0;0;0;0;5;0;0;1;0;0;0;5;3;0;4;0;1;4
10;0;23;44;103;0;0;17;0;0;2;11;91;0;0;0;0;2;1;131;0;4;0;5;95;204;8;1;0;0;7;2;4;1;0;0;0;0;0;17;0;0;1;0;1;4;0;2;2;4;0;15;3
6;0;12;9;38;0;0;10;2;0;2;1;37;0;1;0;0;0;0;66;0;2;0;0;113;226;0;0;0;1;1;0;1;1;0;0;0;0;0;4;0;0;1;0;0;1;0;0;1;2;0;6;3
4;0;2;12;34;0;1;3;0;0;0;0;19;0;1;0;0;0;0;41;0;0;0;0;140;258;1;0;0;1;2;0;0;1;0;0;0;0;0;3;0;0;0;0;0;0;1;0;1;0;0;2;1
1;0;2;9;44;0;0;1;0;0;1;1;17;0;0;0;0;0;0;41;0;1;0;0;133;307;2;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;4;2
4;0;3;0;43;1;0;1;0;0;0;4;4;0;1;0;1;0;0;15;0;0;0;0;220;346;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;2
1;0;15;0;85;0;0;1;0;0;0;1;8;0;2;0;0;0;0;24;0;0;0;1;199;270;0;0;0;7;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0
3;0;5;2;50;0;0;3;1;0;0;3;1;0;0;0;0;0;1;11;0;0;0;0;158;238;0;1;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
41;0;18;0;17;0;0;10;0;0;0;3;2;0;0;0;0;0;0;2;0;0;0;0;276;414;0;0;0;4;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0
58;0;16;0;24;0;0;9;0;0;0;2;1;0;0;0;0;0;0;7;0;0;0;0;240;320;0;0;0;8;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0
121;1;44;0;16;0;0;21;0;0;0;5;6;0;0;0;0;0;1;13;0;0;0;0;184;38;0;0;0;9;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;1;0;0;0;1;0;0;0
121;0;51;0;33;0;0;47;0;0;1;5;7;0;2;0;0;0;1;17;0;0;0;0;196;190;0;1;0;13;1;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;1;0;0;3;1
219;2;135;0;8;11;0;189;0;0;0;22;1;0;0;0;0;0;6;1;0;0;1;0;91;8;0;0;0;13;0;0;0;0;0;0;0;0;7;0;1;0;15;0;0;0;0;0;0;0;0;0;0
216;1;74;0;4;4;0;111;0;0;0;50;2;0;0;0;0;0;2;2;0;0;2;0;76;4;0;0;0;7;0;0;0;0;0;0;0;0;6;0;0;0;7;0;0;0;0;0;0;0;0;0;0
251;0;73;0;3;5;0;154;0;0;0;44;0;0;0;0;0;0;5;0;2;0;4;0;53;1;0;0;0;13;0;0;0;0;0;0;0;0;7;0;1;0;15;0;0;0;0;0;0;0;0;0;0
205;0;43;0;1;3;0;152;0;0;0;44;1;0;0;0;0;0;4;1;0;0;0;0;46;1;0;0;0;9;0;0;0;0;0;0;0;0;2;0;1;0;6;0;0;0;0;0;0;0;0;0;0
367;2;84;0;0;0;0;253;0;0;0;136;1;0;0;0;0;0;5;4;1;0;0;0;66;6;0;0;0;14;1;0;0;0;0;0;0;0;2;1;2;0;23;0;0;0;0;0;0;0;0;0;0
47;2;44;0;1;0;0;46;0;0;0;370;0;0;0;0;0;1;10;1;0;0;0;0;21;3;0;0;0;14;0;0;0;0;0;0;0;0;12;0;2;0;5;0;0;1;0;0;0;0;0;0;0
20;4;53;0;6;0;0;18;0;0;0;417;0;0;0;0;0;0;28;3;5;0;0;0;23;3;0;0;0;32;0;0;0;0;0;0;0;0;51;0;3;0;11;0;0;0;0;0;0;0;0;0;0
16;5;62;0;1;0;0;11;0;0;0;810;2;0;0;0;0;1;37;10;1;0;2;0;47;3;0;0;0;108;0;0;0;0;0;0;0;0;237;0;5;0;25;0;0;0;0;0;0;0;0;0;0
3;4;40;1;1;0;0;2;0;0;0;505;4;0;0;0;0;0;23;2;1;0;2;0;19;11;0;0;0;71;0;0;0;0;0;0;0;0;127;0;5;0;13;0;0;1;0;0;0;0;0;0;0
3;1;57;1;1;0;0;0;0;0;0;478;2;0;0;0;0;0;24;4;2;0;1;0;43;6;0;0;0;129;0;0;0;0;0;0;0;0;85;0;4;0;19;0;0;0;0;0;0;0;0;0;0
0;3;39;0;1;0;0;0;0;0;0;1334;4;0;1;0;0;0;72;8;1;0;0;0;33;19;0;0;0;343;1;0;0;0;0;0;0;0;18;0;5;0;75;0;0;0;0;0;1;0;0;0;0
0;2;8;0;2;0;0;0;0;0;0;614;0;0;0;0;0;0;31;1;0;0;0;0;7;9;0;0;0;99;0;0;0;0;0;0;0;0;0;0;12;0;30;0;0;0;0;0;0;0;0;0;0
0;0;6;0;14;0;0;0;0;0;0;603;3;0;0;0;0;0;42;4;1;0;0;0;5;13;0;0;0;204;0;0;0;0;0;0;0;0;2;0;3;0;27;0;0;0;0;0;0;0;0;0;0
0;1;5;0;21;0;0;0;0;0;0;183;2;0;0;0;0;0;31;2;5;0;0;0;6;27;0;0;0;236;0;0;0;0;0;0;0;0;0;0;2;0;31;0;0;0;0;0;0;0;0;0;0
0;1;2;1;39;0;0;0;0;0;0;15;5;0;0;0;0;2;47;6;16;0;0;0;3;71;0;0;0;275;1;0;0;0;0;0;0;0;0;0;10;0;104;0;0;2;0;0;0;2;0;0;0
0;0;5;16;418;0;0;0;0;0;0;4;6;0;0;0;0;0;0;13;1;0;1;0;1;307;0;0;0;11;0;0;0;0;0;0;0;0;0;3;0;0;30;0;0;2;0;0;0;2;0;3;1
0;0;1;13;161;0;0;0;0;0;4;0;4;0;0;0;0;0;0;33;0;1;0;2;0;385;0;0;0;1;0;1;1;0;0;0;0;0;0;3;0;0;1;0;0;3;0;0;0;2;0;4;0
0;0;1;61;54;0;0;0;1;0;14;9;249;2;0;0;0;1;0;145;0;24;0;24;0;78;5;0;0;0;3;7;1;16;0;0;0;0;0;14;0;0;0;0;0;4;4;6;1;2;0;30;3
0;0;7;57;24;0;0;0;2;0;25;4;212;4;0;0;0;2;0;151;0;11;0;9;0;38;0;0;0;0;12;5;6;14;0;0;0;0;0;31;0;0;0;0;0;6;0;8;1;1;0;52;6
0;0;16;50;42;0;0;0;3;0;10;27;86;1;0;0;0;2;0;166;0;11;0;6;0;34;0;0;0;6;7;7;8;12;0;0;0;0;0;46;1;0;2;0;0;12;2;2;3;6;0;25;3